ZN,INDUS,RM,AGE,DIS,TAX,PTRATIO,LSTAT,PRICE
12.5,7.87,5.631,100.0,6.0821,311.0,15.2,29.93,16.5
52.5,5.32,6.565,22.9,7.3172,293.0,16.6,9.51,24.8
12.5,6.07,5.594,36.8,6.498,345.0,18.9,13.09,17.4
0.0,10.59,5.404,88.6,3.665,277.0,18.6,23.98,19.3
0.0,6.2,8.04,86.5,3.2157,307.0,17.4,3.13,37.6
0.0,10.81,6.417,6.6,5.2873,305.0,19.2,6.72,24.2
90.0,1.22,7.249,21.9,8.6966,226.0,17.9,4.81,35.4
0.0,18.1,6.167,84.0,3.0334,666.0,20.2,16.29,19.9
0.0,18.1,6.852,100.0,1.4655,666.0,20.2,19.78,27.5
0.0,19.58,6.129,96.0,1.7494,403.0,14.7,15.12,17.0
55.0,3.78,6.874,28.1,6.4654,370.0,17.6,4.61,31.2
20.0,6.96,6.538,58.7,3.9175,223.0,18.6,7.73,24.4
0.0,9.9,4.973,37.8,2.5194,304.0,18.4,12.64,16.1
0.0,19.58,6.25,92.6,1.7984,403.0,14.7,5.5,27.0
0.0,9.9,6.113,58.8,4.0019,304.0,18.4,12.73,21.0
0.0,18.1,6.728,94.1,2.4961,666.0,20.2,18.71,14.9
12.5,7.87,6.009,82.9,6.2267,311.0,15.2,13.27,18.9
0.0,18.1,5.852,77.8,1.5004,666.0,20.2,29.97,6.3
0.0,18.1,5.155,100.0,1.5894,666.0,20.2,20.08,16.3
0.0,8.14,5.599,85.7,4.4546,307.0,21.0,16.51,13.9
0.0,18.1,5.957,100.0,1.8026,666.0,20.2,20.62,8.8
0.0,19.58,5.709,98.5,1.6232,403.0,14.7,15.79,19.4
0.0,25.65,5.879,95.8,2.0063,188.0,19.1,17.58,18.8
0.0,8.56,6.474,97.1,2.4329,384.0,20.9,12.27,19.8
0.0,4.39,6.014,48.5,8.0136,352.0,18.8,10.53,17.5
0.0,8.56,6.137,87.4,2.7147,384.0,20.9,13.44,19.3
0.0,10.59,5.344,100.0,3.875,277.0,18.6,23.09,20.0
0.0,21.89,5.637,94.7,1.9799,437.0,21.2,18.34,14.3
0.0,18.1,6.425,74.8,2.2004,666.0,20.2,12.03,16.1
0.0,8.56,5.836,91.9,2.211,384.0,20.9,18.66,19.5
0.0,18.1,6.193,78.1,1.9356,666.0,20.2,21.52,11.0
80.0,3.64,6.108,32.0,9.2203,315.0,16.4,6.57,21.9
20.0,3.97,7.327,94.5,2.0788,264.0,13.0,11.25,31.0
0.0,25.65,5.87,69.7,2.2577,188.0,19.1,14.37,22.0
0.0,18.1,5.713,97.0,1.9265,666.0,20.2,17.11,15.1
0.0,18.1,6.794,98.8,1.358,666.0,20.2,21.24,13.3
0.0,3.41,7.079,63.1,3.4145,270.0,17.8,5.7,28.7
0.0,6.2,7.686,17.0,3.3751,307.0,17.4,3.92,46.7
25.0,5.13,6.456,67.8,7.2255,284.0,19.7,6.73,22.2
0.0,10.81,6.065,7.8,5.2873,305.0,19.2,5.52,22.8
82.5,2.03,7.61,15.7,6.27,348.0,14.7,3.11,42.3
0.0,19.58,6.943,97.4,1.8773,403.0,14.7,4.59,41.3
0.0,18.1,6.411,100.0,1.8589,666.0,20.2,15.02,16.7
60.0,2.93,6.8,9.9,6.2196,265.0,15.6,5.03,31.1
0.0,6.2,6.951,88.5,2.8617,307.0,17.4,9.71,26.7
80.0,3.37,5.787,31.1,6.6115,337.0,16.1,10.24,19.4
80.0,0.46,7.875,32.0,5.6484,255.0,14.4,2.97,50.0
0.0,6.91,6.03,85.5,5.6894,233.0,17.9,18.8,16.6
0.0,18.1,6.317,83.0,2.7344,666.0,20.2,13.99,19.5
0.0,10.59,6.326,52.5,4.3549,277.0,18.6,10.97,24.4
80.0,4.95,6.861,27.9,5.1167,245.0,19.2,3.33,28.5
0.0,19.58,6.402,95.2,2.2625,403.0,14.7,11.32,22.3
0.0,18.1,6.404,100.0,1.639,666.0,20.2,20.31,12.1
0.0,13.92,6.678,31.1,5.9604,289.0,16.0,6.27,28.6
0.0,21.89,5.757,98.4,2.346,437.0,21.2,17.31,15.6
0.0,10.01,6.021,82.6,2.7474,432.0,17.8,10.3,19.2
0.0,8.56,6.727,79.9,2.7778,384.0,20.9,9.42,27.5
40.0,6.41,6.854,42.8,4.2673,254.0,17.6,2.98,32.0
0.0,8.14,5.456,36.6,3.7965,307.0,21.0,11.69,20.2
40.0,6.41,6.758,32.9,4.0776,254.0,17.6,3.53,32.4
0.0,21.89,5.822,95.4,2.4699,437.0,21.2,15.03,18.4
0.0,18.1,6.251,91.1,2.2955,666.0,20.2,14.19,19.9
45.0,3.44,6.556,29.1,4.5667,398.0,15.2,4.56,29.8
0.0,27.74,5.983,83.5,2.1099,711.0,20.1,13.35,20.1
20.0,3.97,7.47,52.6,2.872,264.0,13.0,3.16,43.5
80.0,2.01,6.635,29.7,8.344,280.0,17.0,5.99,24.5
0.0,18.1,6.683,96.8,1.3567,666.0,20.2,3.73,50.0
0.0,18.1,6.434,100.0,1.8347,666.0,20.2,29.05,7.2
0.0,18.1,6.114,79.8,3.5459,666.0,20.2,14.98,19.1
0.0,18.1,6.312,51.9,3.9917,666.0,20.2,10.58,21.2
0.0,10.59,5.891,22.3,3.9454,277.0,18.6,10.87,22.6
12.5,7.87,6.012,66.6,5.5605,311.0,15.2,12.43,22.9
25.0,5.13,6.762,43.4,7.9809,284.0,19.7,9.5,25.0
30.0,4.93,6.606,42.2,6.1899,300.0,16.6,7.37,23.3
0.0,25.65,5.856,97.0,1.9444,188.0,19.1,25.41,17.3
17.5,1.38,7.104,59.5,9.2229,216.0,18.6,8.05,33.0
0.0,21.89,6.151,97.9,1.6687,437.0,21.2,18.46,17.8
0.0,9.9,6.567,87.3,3.6023,304.0,18.4,9.28,23.8
0.0,18.1,6.202,78.7,1.8629,666.0,20.2,14.52,10.9
0.0,8.56,6.405,85.4,2.7147,384.0,20.9,10.63,18.6
0.0,6.91,5.682,33.8,5.1004,233.0,17.9,10.21,19.3
0.0,18.1,6.484,93.6,2.3053,666.0,20.2,18.68,16.7
25.0,4.86,6.727,33.5,5.4007,281.0,19.0,5.29,28.0
0.0,8.14,6.096,84.5,4.4619,307.0,21.0,10.26,18.2
40.0,6.41,6.482,32.1,4.1403,254.0,17.6,7.19,29.1
0.0,11.93,6.03,80.8,2.505,273.0,21.0,7.88,11.9
35.0,1.52,7.241,49.3,7.0379,284.0,15.5,5.49,32.7
0.0,9.69,5.794,70.6,2.8927,391.0,19.2,14.1,18.3
0.0,10.59,5.807,53.8,3.6526,277.0,18.6,16.03,22.4
20.0,3.33,7.82,64.5,4.6947,216.0,14.9,3.76,45.4
0.0,6.2,6.552,21.4,3.3751,307.0,17.4,3.76,31.5
95.0,2.68,7.853,33.2,5.118,224.0,14.7,3.81,48.5
0.0,9.9,5.782,71.7,4.0317,304.0,18.4,15.94,19.8
0.0,6.2,8.337,73.3,3.8384,307.0,17.4,2.47,41.7
0.0,7.38,6.083,43.7,5.4159,287.0,19.6,12.79,22.2
0.0,9.9,5.972,76.7,3.1025,304.0,18.4,9.97,20.3
20.0,6.96,5.92,61.5,3.9175,223.0,18.6,13.65,20.7
0.0,18.1,4.97,100.0,1.3325,666.0,20.2,3.26,50.0
0.0,19.58,4.903,97.8,1.3459,403.0,14.7,29.29,11.8
0.0,5.19,5.869,46.3,5.2311,224.0,20.2,9.8,19.5
0.0,18.1,6.152,100.0,1.9142,666.0,20.2,26.45,8.7
0.0,13.89,5.888,56.0,3.1121,276.0,16.4,13.51,23.3
45.0,3.44,7.178,26.3,6.4798,398.0,15.2,2.87,36.4
0.0,21.89,5.857,98.2,1.6686,437.0,21.2,21.32,13.3
22.0,5.86,6.438,8.9,7.3967,330.0,19.1,3.59,24.8
0.0,8.14,5.949,61.8,4.7075,307.0,21.0,8.26,20.4
90.0,3.75,7.454,34.2,6.3361,244.0,15.9,3.11,44.0
70.0,2.24,7.041,10.0,7.8278,358.0,14.8,4.74,29.0
0.0,2.46,7.765,83.3,2.741,193.0,17.8,7.56,39.8
28.0,15.04,6.442,53.6,3.6659,270.0,18.2,8.16,22.9
0.0,13.89,6.373,92.4,3.3633,276.0,16.4,10.5,23.0
0.0,19.58,5.012,88.0,1.6102,403.0,14.7,12.12,15.3
0.0,10.59,5.412,9.8,3.5875,277.0,18.6,29.55,23.7
45.0,3.44,6.739,30.8,6.4798,398.0,15.2,4.69,30.5
40.0,6.41,7.267,49.0,4.7872,254.0,17.6,6.05,33.2
0.0,2.46,5.604,89.8,2.9879,193.0,17.8,13.98,26.4
0.0,19.58,8.375,93.9,2.162,403.0,14.7,3.32,50.0
0.0,18.1,6.006,95.3,1.8746,666.0,20.2,15.7,14.2
0.0,27.74,5.093,98.0,1.8226,711.0,20.1,29.68,8.1
25.0,5.13,5.966,93.4,6.8185,284.0,19.7,14.44,16.0
0.0,12.83,6.279,74.5,4.0522,398.0,18.7,11.97,20.0
0.0,18.1,5.747,98.9,1.6334,666.0,20.2,19.92,8.5
30.0,4.93,6.481,18.5,6.1899,300.0,16.6,6.36,23.7
34.0,6.09,6.495,18.4,5.4917,329.0,16.1,8.67,26.4
0.0,7.38,5.708,74.3,4.7211,287.0,19.6,11.74,18.5
0.0,18.1,6.081,84.4,2.7175,666.0,20.2,14.7,20.0
0.0,19.58,7.929,96.2,2.0459,403.0,14.7,3.7,50.0
0.0,18.1,6.103,85.1,2.0218,666.0,20.2,23.29,13.4
0.0,8.14,5.701,95.0,3.7872,307.0,21.0,18.35,13.1
0.0,18.1,5.887,94.7,1.7821,666.0,20.2,16.35,12.7
0.0,6.2,8.725,83.0,2.8944,307.0,17.4,4.63,50.0
0.0,8.14,5.924,94.1,4.3996,307.0,21.0,16.3,15.6
20.0,3.97,8.704,86.9,1.801,264.0,13.0,5.12,50.0
0.0,4.05,6.546,33.1,3.1323,296.0,16.6,5.33,29.4
22.0,5.86,8.259,8.4,8.9067,330.0,19.1,3.54,42.8
0.0,10.59,5.96,92.1,3.8771,277.0,18.6,17.27,21.7
0.0,18.1,6.459,94.8,1.9879,666.0,20.2,23.98,11.8
25.0,4.86,6.302,32.2,5.4007,281.0,19.0,6.72,24.8
0.0,9.9,6.023,90.4,2.834,304.0,18.4,11.72,19.4
0.0,9.69,5.569,73.5,2.3999,391.0,19.2,15.1,17.5
0.0,19.58,5.403,100.0,1.3216,403.0,14.7,26.82,13.4
0.0,18.1,6.649,93.3,1.3449,666.0,20.2,23.24,13.9
22.0,5.86,6.433,49.1,7.8265,330.0,19.1,9.52,24.5
0.0,18.1,7.313,97.9,1.3163,666.0,20.2,13.44,15.0
0.0,18.1,4.138,100.0,1.137,666.0,20.2,37.97,13.8
0.0,4.05,5.572,88.5,2.5961,296.0,16.6,14.69,23.1
0.0,18.1,6.405,96.0,1.6768,666.0,20.2,19.37,12.5
0.0,18.1,6.341,96.4,2.072,666.0,20.2,17.79,14.9
0.0,18.1,8.78,82.9,1.9047,666.0,20.2,5.29,21.9
